id,product_id,content,label
4802756,38458616,"Mua hàng chốt đơn nhận tiền rất nhanh, không kịp hủy để đặt lại đơn khác.",0
4802756,38458616,"nhưng nhận hàng thì 5 ngày rồi chưa kích foajt bảo hành được, sắp hết 7 ngày đổi trả, mà Tiki mỗi ngày trả lời 1 email nội dung đang xử lý, dù mình đã làm theo hướng dẫn nhập ngày mua trên web https://checkcoverage.apple.com/updateDop vẫm ko được, chắc Tiki đợi hết 7 ngày đổi trả mới bắt đầu xem xét hỗ trợ.",-1
4802756,38458616,Rất không hài lòng với hậu mãi như Tiki.,-1
3094129,38458616,"Lúc mua cái này mình phân vân lắm, tại tới tận gần 8tr mà mình muốn mua mã của VN/A nên đợi mãi mới có, mà số tiền bỏ ra xứng đáng hoàn toàn luôn ấy chế độ khử tiếng ồn rất là tốt luôn, trước lúc mua mình kh kỳ vọng nó nhiều vậy hehe, lý do mình chọn mua pro là thấy thiết kế nó nhỏ gọn hơn so với thế hệ thứ 2, một điểm cộng nữa là tiki giao hàng rất là nhanh luôn, mình đặt hôm qua là bữa nay có rồi",1
5409162,38458616,"chất lượng tai nghe rất tốt, nhưng:
đồ công nghệ đắt tiền nhưng không được hỗ trợ kích hoạt bảo hành, câu trả lời ""không cần kích hoạt đâu"" là không thể chấp nhận được
nhiều ng dùng phổ thông mua về chỉ cần nghe đc là đc, nhưng đến lúc tai nghe có vấn đề hoặc muốn bán lại mới biết rách việc, phí thời gian
dịch vụ của tiki quá kém, dịch vụ KH phải tương xứng với giá của sản phẩm",-1
4856884,38458616,"Tiki giao hàng nhanh chóng, sản phẩm chính hãng, tốt.",1
4856884,38458616,"Tuy nhiên với những món hàng giá trị thì tiki nên đóng gói cẩn thận, lúc giao hàng cho khách hàng thì nên kiểm tra kỹ người nhận chính là chủ nhân của món hàng.",-1
4856884,38458616,Để tránh giao hàng nhầm cho người khác.,-1
4799433,38458616,"Bước đầu nhận hàng hài lòng vì sp còn nguyên seal, mở ra đầy đủ full box.",1
4799433,38458616,"Sử dụng nghe tốt, chất lượng.",1
4799433,38458616,Mình không active trên web apple đuọc cho tai nghe nên mình liên hệ thẳng CSKH của Apple và được active nhanh chóng bảo hành quốc tế.,1
4799433,38458616,Mua được gía tốt ngày 9.9... :),1
5221104,38458616,"Mình mua tai nghe trong lần khuyến mãi chỉ 5,099,000.",1
5221104,38458616,"Tai ngheo còn nguyên seal, đầy đủ phụ kiện và chất lượng tốt.",1
5221104,38458616,Thấy nhiều bạn bình luận chỉ cần liên hệ hỗ trợ Apple để kích hoạt bảo hành nên mình cũng thử và đã kích hoạt được.,1
5221104,38458616,Sđt hỗ trợ của Apple tại VN là 1800 1127 cho bạn nào cần nhe,0
5511175,38458616,1,0
5511175,38458616,"Không kích hoạt được bảo hành, lên trang https://checkcoverage.apple.com/ để kích hoạt toàn báo lỗi, thử đi thử lại bao nhiêu lần vẫn vậy
2.",-1
5511175,38458616,"Pin có vấn đề không ổn, mình để ý mới nghe đc tiếng rưỡi với âm lượng chưa đến 50%, check pin thấy báo mỗi tai còn khoảng 65%, bỏ tai nghe cắm vào dock đc vài phút  check lại thấy báo còn 30% pin mỗi bên tai.",-1
5511175,38458616,"Không hiểu kiểu gì luôn
Đề nghị Tiki đổi cho tôi sản phẩm khác ko lỗi như thế này",-1
5454403,38458616,"Bạn nào tai nhỏ thì nên cân nhắc, mang khá cấn, kết nối iphone nghe ổn hơn trên macbook, khả năng chống ồn tốt, nhưng với bản firmware mới nhất (3A283) thì dường như chỉ lọc tầng số thấp, tiếng người nói chuyện vẫn nghe rõ, nếu bắt nhạc nhỏ ( 50%), không như những clip review trên mạng, cứ như điếc hoang toàn có lẽ họ bắt nhạc to, có cái đi đường chống ồn cực đỉnh, chỉ nghe tiếng kèn xe, không nghe tiếng máy, khuyến khích không mang trong lúc chạy xe.",-1
4799650,38458616,"Nghe không phê bằng Beats Studio, nhưng độ tiện lợi thì rất ok. Thử chạy xe và bật chế độ noise cancellation khử tiếng ồn rất tốt nhưng vẫn đủ nghe tiếng còi xe để đảm bảo an toàn.",-1
4799650,38458616,Tuy nhiên tai nghe xài tầm 3 năm thôi vì thay thế pin của Apple chính hãng khá chát nên ai mua cân nhắc nhé.,1
5526818,38458616,"Hàng giao nhanh, đặt thứ 6, thứ 7 giao rồi.",1
5526818,38458616,"Kích hoạt thì hơi rắc rối tí nhưng Tiki hỗ trợ khách hàng và hướng dẫn kích hoạt ok. Sản phẩm chính hãng, date mới tháng 8/2020.",1
5526818,38458616,Tiki đưa lại sự tin tưởng hơn rất nhiều so với các sàn tmđt khác.,1
5526818,38458616,Cảm ơn.,1
5174675,38458616,Mình đã dùng từ đời 1 đến 2 giờ chuyển sang Pro thì lên đúng chất pro luôn.,1
5174675,38458616,"Trải nghiệm âm thanh rất tuyệt, đặc biệt khi đi tàu xe, chốn đông người mà chúng ta muốn sự yên tĩnh nghe rõ chất âm thì nên dùng con này.",1
5468602,38458616,"Hàng nguyên seal giao hàng nhanh, âm thanh tốt, có lỗi nhỏ ở kén đựng của mình nó ko đúng khớp một chút xíu, mở lấy tai nghe hay chạm thì nó bị dịch ra ko đúng khớp đóng 1 chút.",0
5468602,38458616,Dù ko ảnh hưởng nhiều nhưng mình thấy hơi khó chịu.,-1
4466940,38458616,"Giao hàng nhanh, hàng mới còn seal, có tiếng việt được dán trên vỏ hộp, máy hoạt động bình thường chưa gặp trục trặc gì",1
4961097,38458616,hộp in đúng mã VN/A.,1
4961097,38458616,"tuy nhiên: 
- không kích hoạt được bảo hành trên trang chủ apple.",-1
4961097,38458616,"- bật chế độ khử ồn thì vẫn nghe được tiếng xe nổ, tiếng người nói ở xa, và nghe được tiếng quạt ở gần (mặc dù không to nhưng vẫn cảm nhận được)",-1
5545541,38458616,"Giao hàng cực nhanh, cực thích TikiNow, thêm chút phí nhưng trải nghiệm tuyệt vời.",1
5545541,38458616,"Hàng bao đóng cẩn thận, nguyên seal, mới ra lò tháng 10-2020, chính hãng luôn.",1
5545541,38458616,"Sử dụng ko có vấn đề gì, moi thứ đều rất tuyệt.",1
5239115,38458616,Hàng VNA chính hãng.,1
5239115,38458616,Đã nhờ Apple Care hỗ trợ đăng ký bảo hành.,1
5239115,38458616,Chất lượng O.K.,1
5239115,38458616,Chế độ chống ồn không được như kì vọng,-1
5018886,38458616,"Đóng gói cẩn thận , giao hành nhanh , chất lượng tai nghe thì ok .",1
5018886,38458616,"Nhưng có vấn đề ở cái bản lề hộp sạc , khi đóng hộp vào rồi cầm lay nhẹ nghe tiếng cách cách khá khó chịu",-1
5589737,38458616,"Sản phẩm chính hãng Việt Nam 1 đổi 1, săn được giá ưu đãi, vận chuyển hàng hoá nhanh chóng.",1
