id,product_id,content
5366834,58259141,Giao hàng khá nhanh.
5366834,58259141,Tầm chưa đầy 2 ngày là giao hàng.
5366834,58259141,Thấy mn nói không có lót giấy nhưng của mình thấy có đệm giấy bên trong.
5366834,58259141,Hộp còn nguyên seal.
5366834,58259141,Pin lúc khởi động là 55% xài tầm 30p còn 50%.
5366834,58259141,"Mấy ngày sử dụng thấy mọi thứ đều ổn áp, pin thấy xài cũng ok, nếu sử dụng bình thường không phải chơi game liên tục thì chắc được hơn 1 ngày."
5366834,58259141,"Loa, màn hình các thứ rất ok. Liên hệ bên tiki thì bảo là tgian kích hoạt bảo hành từ 7-10 ngày nhưng chưa biết đúng hạn không."
5366834,58259141,Mình thấy trong tầm giá này thì chiếc M31 rất là hợp lý.
5296726,58259141,_Đầu tiên mình đánh giá cho tiki 5 sao về dịch vụ giao hàng siêu nhanh.
5296726,58259141,đặt giao tiêu chuẩn mà chưa được 3 tiếng đã có người giao.
5296726,58259141,_Về phần điện thoại mình đánh giá 2 sao.
5296726,58259141,"Mình mua bản 6gb Ram về mở lên cài đặt, cập nhật xong rồi."
5296726,58259141,Mình chỉ lướt fb nhẹ mag đã lag lag rất khó chịu.
5296726,58259141,Phía bên trái chỗ vân tay bị cấn 1 lỗ nhỏ bằng sợi chỉ (nhô lên).
5296726,58259141,mình lấy tay chà chà thì có dấu cấn của lỗ này.
5296726,58259141,Mình thấy 4tr6 mà để trải nghiệm cảm giác lag khi chưa chơi game và độ hoàn thiện chưa cao thì mình hơi tiếc.
5296726,58259141,"Pin từ 57% xuống 39% thì lúc mở máy, cài đặt các thứ hết 35 phút."
5296726,58259141,Không trâu như mấy reviewer đánh giá.
5296726,58259141,Tóm lại.
5296726,58259141,"Tiki 5 sao
Máy 2 sao."
5296726,58259141,Trung bình 3 sao.
4907099,58259141,Lần thứ 4 mua đt tại tiki.
4907099,58259141,Đắt rẻ đều có cả.
4907099,58259141,Giá rẻ hơn các trang TMĐT khác.
4907099,58259141,Nói chung rất hài lòng.
4907099,58259141,"Sản phẩm nguyên seal, chính hãng, chưa kích hoạt bảo hành."
4907099,58259141,Nhưng tiki đóng hàng đt nên cho tấm nilon chống sốc như trước thay vì độn giấy vào bên trong hộp như bây giờ.
4907099,58259141,Sau lần vận chuyển rất cẩu thả của Ninja lần trước thì lần này có chút khả quan.
5289690,58259141,"Mua làm quà tặng nên chọn giao nhanh, nhưng hơi xớn xác chọn địa chỉ công ty đúng ngày Chủ Nhật nên hẹn hôm sau giao lại."
5289690,58259141,"Hôm sau giao lại thì đúng giờ hẹn không thấy đâu, nhắn tin hỗ trợ vẫn không thấy hẹn giao lại, đến lúc gọi lên tổng đài thì được hẹn giao lại lúc đầu giờ chiều, lần này mới được."
5289690,58259141,"Còn máy thì có thể nói là cấu hình tốt nhất trong tầm giá, tiki cũng đưa ra chiết khấu khá cạnh tranh."
5289690,58259141,Cực kỳ hài lòng.
5131906,58259141,"Hàng nguyên seal, đóng gói kỹ, đang trãi nghiệm ổn, chỉ có phần kích hoạt bảo hành điện tử bằng tin nhắn không thấy phản hồi."
5131906,58259141,"Đã liên hệ Tiki nhờ hỗ trợ, hiện đang chờ hãng kích hoạt (Tiki trading báo sẽ kích hoạt trong vòng 5-10 ngày)."
5131906,58259141,"Sản phẩm OK trong tầm giá, đang đặt hàng con nữa và chờ giao hàng"
5193527,58259141,tạm cho 4 sao do cảm biến vân tay ko đc nhạy lắm đôi lúc không phản hồi phải khởi động máy lại thì xài đc chút rồi lại chập chờn.
5193527,58259141,ko biết là do OS hay do phần cứng.
5193527,58259141,"đợi tiki gửi sms kích hoạt bảo hành rồi ra ssung check, về máy sử dụng cũng được trong tầm giá."
5193527,58259141,chất lượng hoàn thiện tốt.
5193527,58259141,loa hơi bé chút
5444958,58259141,"Mình đã nhận được hàng và rất hài lòng về sản phẩm, chất lượng dịch vụ của Tiki."
5444958,58259141,Nhờ Tiki kích hoạt bảo hành giúp mình nhé.
5444958,58259141,"Vì mình đã tự gửi mã IMEI về 6060 nhưng mãi mà không thấy phản hồi, khi check trên website của Samsung thì vẫn thấy là điện thoại của mình chưa được kích hoạt bảo hành."
5444958,58259141,Tiki hỗ trợ kích hoạt bảo hành giúp mình nhé.
5444958,58259141,Cảm ơn Tiki nhiều ạ.
5257757,58259141,Hi Shop.
5257757,58259141,"Tôi đã nhận hàng , 
tuy nhiên về
* vận chuyển giao hàng:
-Lần sau nếu món hàng giá trị >=2tr Shop nên gọi báo tôi trước 1 ngày  khi giao hàng thì sẽ ok hơn nhé."
5257757,58259141,"* Đóng gói: 
Hộp đóng gói bên ngoài chưa được đẹp ."
5257757,58259141,"*Chât lượng máy:
Tôi test sơ thấy ok tuy nhiên tôi cần thời gian sử dụng và hạn bản hành 12 tháng để kiểm chứng dịch vụ bảo hành và sửa chửa nhé."
5257757,58259141,Thanks!
5238026,58259141,Giao hàng đúng hẹn.
5238026,58259141,Đóng gói cẩn thận.
5238026,58259141,Hàng còn nguyên seal.
5238026,58259141,Tiki kích hoạt bảo hành điện tử  sau khi nhận hàng 1 tuần ( OK. Tiki đã cam kết sẽ kích hoạt các sp Samsung trong vòng 1 tuần).
5238026,58259141,"Đã dùng đc 10 ngày thấy chạy mượt mà ngon lành, còn về sau thì có chạy ổn định không thì chưa biết đc."
5238026,58259141,Nói chung là hài lòng.
5238026,58259141,GOOD !
5354384,58259141,Máy mượt.
5354384,58259141,Nhưng nhanh hết pin quá.
5354384,58259141,Thông số pin la 6.000mA mà thua IPhone 7+ của mình.
5354384,58259141,"Fake ID k nhạy, lúc được lúc không, hên xui."
5354384,58259141,Hơi thất vọng về hàng Samsung
5532515,58259141,Không phải hàng mới.
5532515,58259141,ống kính có vật lạ lọt bên trong.
5532515,58259141,mặt kính dán lại không kín  (không rõ tại sao mở ra ).
5532515,58259141,Sao đựng trong hộp còn nguyên seal.??
5532515,58259141,?
5235319,58259141,sp chuẩn chưa active.
5235319,58259141,nguyên serial.
5235319,58259141,tuy nhiên tiki rất vớ vẩn.
5235319,58259141,sale ngày 10/10 có cả mã giảm giá là 4740k lại đắt hơn cả ngày thường.
5235319,58259141,hiện tại 2 ngayd hôm nay 15-16/10 check giá hiện tại là 4700k
5343121,58259141,"Máy mới nguyên zin, giáo hàng tương đối đúng hẹn."
5343121,58259141,"Ram 6G chơi game cơ bản ổn, pin tốt xài được 1 ngày.Tiki cho mình hỏi kích hoạt bảo hành như thế nào vậy?"
5107372,58259141,Quá đẹp!
5107372,58259141,"giá cả rất xứng đáng với cấu hình của máy, ai có túi tiền vừa phải, có ý định mua máy thì nên chọn M31."
5400254,58259141,"day la lan thu 3 mua dien thoai cua tiki, 2lan truoc cam thay hai long con lan nay mua galaxy m31 gia gan 5t ma cam thay chua hai long ,1 song so voi dien thoai khac cung 1 thoi diem la ty mat 1 vach ,2 loa ngoai an thanh qua be"
5431796,58259141,sao máy sáng nay vừa mua đt M31 về dùng để đt tự nhiên màn hình tự sáng vậy yêu cầu tiki xem giúp với và kích hoạt đc bảo hành chưa vậy?
5431796,58259141,sđt 0983425314 tạm thời cho 5sao ủng hộ hàng Việt Nam
5061833,58259141,Giao hàng siêu nhanh.
5061833,58259141,Đóng gói ko cẩn thận lắm.Hàng mới còn nguyên tem.
5061833,58259141,Màn hình đẹp và mướt.
5061833,58259141,Nhờ tiki kích hoạt bảo hành cho mình nhé.
5061833,58259141,Thanks!
5039875,58259141,"Hang chinh hang, nguyen tem, nguyen seal."
5039875,58259141,"Su dung 1 ngay, thay may M31 pin rat tot, giao dien than thien, de dung."
5571590,58259141,"Hàng mở hộp  đã lổi, mất lòng tin từ đon vị TIKI...đáng tiếc."
5571590,58259141,gIỜ MẤT CÔNG ĐI BẢO HÀNH .
5571590,58259141,"HI VỌNG ĐƠN VỊ CỘNG TÁC NGHIÊN CỨU TỐT HƠN HÀNG BÁN, Đở phiền khách hàng tin TiKI"
5590239,58259141,"Giao hàng nhanh, cam chụp đẹp, nhưng điện thoại bắt sóng khá là yếu, 4g cũng yếu, hi vọng tiki giúp tôi tìm cách khác phục sớm nhất, cảm ơn"
5103336,58259141,"Chất lượng âm thanh nghe gọi không rõ, rất nhỏ nhất là khi gọi Zalo, Messenger, Duo...nói chung là không hài lòng."
5103336,58259141,Tôi muốn liên hệ để đổi trả lại 🙂
5283657,58259141,sản phẩm rất tốt giao hàng nhanh đóng hàng rất tốt.rất hài lòng với sản phẩm của tiki.
5601888,58259141,Thời gian giao hàng tốt.
5601888,58259141,Kiểm tra sơ bộ thấy một số camera phụ bị lệch khung.
5601888,58259141,K lẽ samsung dạo này độ hoàn thiện xuống cấp vậy ta.
5314918,58259141,"Mua làm quà cho người thân, trả thêm phí nên giao hàng rất nhanh, sản phẩm còn nguyên seal."
5314918,58259141,Tuy nhiên lót chống sốc bằng tờ giấy thì không được đẹp mắt lắm.
4992996,58259141,"Lần đầu mua hàng trên TiKi, đóng gói quá chuẩn và  đẹp."
4992996,58259141,"Hàng còn nguyên seal, chính hãng Samsung VN."
4992996,58259141,Chưa sử dụng nhưng vẫn đánh giá 5 sao.
5461370,58259141,"máy chính hãng, nguyên sliêu ,nguyên hộp đẹp lắm.còn chất lượng thì để thời gian xem mới biết vì chưa xài .nói chung là rẻ ,đẹp OK lắm."
5577901,58259141,"sp rất đẹp, Giao hàng rất nhanh"
5408449,58259141,PIN siêu trâu.
5408449,58259141,Cấu hình ổn.
5408449,58259141,Màn hình ok. Loa cũng không quá to nhưng đủ xài.
5408449,58259141,"Ốp lưng khá khó kiếm, mua nhầm vài cái ốp đểu mang ko vừa với con M31 này."
5186670,58259141,"sản phẩm rất ok, giao hàng nhanh chưa tới 2 ngày đã nhận đc hàng, mong các sản  
phẩm khác cũng giao nhanh như vậy cảm ơn shop"
